Type;N;J;GFLOPS;Memory Performance
Addition;1024;1;0.489184;0.293511
AdditionJ;1024;1;3.125;1.875
Multiplication;1024;1;2.30216;1.38129
MultiplicationJ;1024;1;2.29968;1.37981
Addition;1024;2;4.56165;2.73699
AdditionJ;1024;2;4.78326;2.86996
Multiplication;1024;2;4.89297;2.93578
MultiplicationJ;1024;2;0.157105;0.0942632
Addition;1024;4;0.154217;0.0925301
AdditionJ;1024;4;0.160016;0.0960096
Multiplication;1024;4;5.14469;3.08682
MultiplicationJ;1024;4;0.273949;0.16437
Addition;1024;8;0.158837;0.0953019
AdditionJ;1024;8;4.2133;2.52798
Multiplication;1024;8;4.46304;2.67782
MultiplicationJ;1024;8;0.160647;0.096388
Addition;1024;16;4.2953;2.57718
AdditionJ;1024;16;3.72309;2.23386
Multiplication;1024;16;4.90046;2.94028
MultiplicationJ;1024;16;2.27434;1.36461
Addition;1024;32;0.160727;0.0964364
AdditionJ;1024;32;3.57542;2.14525
Multiplication;1024;32;4.79042;2.87425
MultiplicationJ;1024;32;0.163524;0.0981144
Addition;2048;1;0.318757;0.191254
AdditionJ;2048;1;9.16249;5.49749
Multiplication;2048;1;4.01128;2.40677
MultiplicationJ;2048;1;10.0235;6.0141
Addition;2048;2;9.16249;5.49749
AdditionJ;2048;2;0.259709;0.155825
Multiplication;2048;2;0.34167;0.205002
MultiplicationJ;2048;2;8.35509;5.01305
Addition;2048;4;10.0078;6.00469
AdditionJ;2048;4;7.71549;4.62929
Multiplication;2048;4;1.63307;0.979842
MultiplicationJ;2048;4;0.31348;0.188088
Addition;2048;8;10.1507;6.0904
AdditionJ;2048;8;7.32685;4.39611
Multiplication;2048;8;0.321568;0.192941
MultiplicationJ;2048;8;6.90399;4.14239
Addition;2048;16;7.68769;4.61261
AdditionJ;2048;16;0.344521;0.206713
Multiplication;2048;16;0.33557;0.201342
MultiplicationJ;2048;16;0.322077;0.193246
Addition;2048;32;7.71084;4.62651
AdditionJ;2048;32;6.25611;3.75367
Multiplication;2048;32;9.54512;5.72707
MultiplicationJ;2048;32;0.317736;0.190642
Addition;4096;1;18.6589;11.1953
AdditionJ;4096;1;19.6772;11.8063
Multiplication;4096;1;18.6182;11.1709
MultiplicationJ;4096;1;0.755452;0.453271
Addition;4096;2;0.664935;0.398961
AdditionJ;4096;2;10.8613;6.51676
Multiplication;4096;2;17.415;10.449
MultiplicationJ;4096;2;8.25806;4.95484
Addition;4096;4;0.664762;0.398857
AdditionJ;4096;4;0.655033;0.39302
Multiplication;4096;4;0.663453;0.398072
MultiplicationJ;4096;4;0.60022;0.360132
Addition;4096;8;0.651399;0.39084
AdditionJ;4096;8;0.682066;0.40924
Multiplication;4096;8;10.6979;6.41872
MultiplicationJ;4096;8;0.932571;0.559542
Addition;4096;16;0.695747;0.417448
AdditionJ;4096;16;6.45812;3.87487
Multiplication;4096;16;0.657388;0.394433
