N,J,Type,K,GFLOPS,Intensity
33554432,2,Add,1,4.85299,0.25
33554432,2,Mul,1,5.03834,0.25
33554432,2,Add,2,10.0932,0.5
33554432,2,Mul,2,10.0951,0.5
33554432,2,Add,3,14.992,0.75
33554432,2,Mul,3,14.9908,0.75
33554432,2,Add,4,19.9333,1.0
33554432,2,Mul,4,20.1972,1.0
33554432,2,Add,5,24.3155,1.25
33554432,2,Mul,5,25.1225,1.25
33554432,2,Add,6,28.3538,1.5
33554432,2,Mul,6,28.1112,1.5
33554432,2,Add,7,33.2844,1.75
33554432,2,Mul,7,32.9223,1.75
33554432,2,Add,8,38.8731,2.0
33554432,2,Mul,8,37.8022,2.0
33554432,2,Add,9,42.9192,2.25
33554432,2,Mul,9,43.5495,2.25
33554432,2,Add,10,48.7347,2.5
33554432,2,Mul,10,48.4015,2.5
33554432,2,Add,11,52.8283,2.75
33554432,2,Mul,11,53.4862,2.75
33554432,2,Add,12,57.1491,3.0
33554432,2,Mul,12,57.6738,3.0
33554432,2,Add,13,62.5282,3.25
33554432,2,Mul,13,62.8239,3.25
33554432,2,Add,14,66.4303,3.5
33554432,2,Mul,14,67.5578,3.5
33554432,2,Add,15,71.0832,3.75
33554432,2,Mul,15,73.3054,3.75
33554432,2,Add,16,75.0966,4.0
33554432,2,Mul,16,76.2519,4.0
33554432,2,Add,32,154.164,8.0
33554432,2,Mul,32,153.247,8.0
33554432,2,Add,64,242.423,16.0
33554432,2,Mul,64,242.196,16.0
33554432,2,Add,128,444.988,32.0
33554432,2,Mul,128,477.319,32.0
33554432,2,Add,256,787.071,64.0
33554432,2,Mul,256,969.324,64.0
33554432,2,Add,512,1894.37,128.0
33554432,2,Mul,512,2474.61,128.0
33554432,2,Add,1024,4858.87,256.0
33554432,2,Mul,1024,4875.58,256.0
33554432,2,Add,2048,8228.27,512.0
33554432,2,Mul,2048,8232.64,512.0
